PA,PB,PC,PD,PE,PF,PG,PH,PI,PAJ,PAA,PAB,PAC,PAD,PAE,PAF,PAG,PAH,PAI,PBJ,PBA,PBB,PBC,PBD,PBE,PBF,PBG,PBH,PBI,PCJ,PCA,PCB,PCC,PCD,PCE,PCF,PCG,PCH,PCI,PDJ,PDA,PDB,PDC,PDD,PDE,PDF,PDG,PDH,PDI,PEJ,PEA,PEB,PEC,PED,PEE,PEF,PEG,PEH,PEI,PFJ,PFA,PFB,PFC,PFD,PFE,PFF,PFG,PFH,PFI,PGJ,PGA,PGB,PGC,PGD,PGE,PGF,PGG,PGH,PGI,PHJ,PHA,PHB,PHC,PHD,PHE,PHF,PHG,PHH,PHI,PIJ,PIA,PIB,PIC,PID,PIE,PIF,PIG,PIH,PII,PAJJ
PHAC,PHAD,PHAE,PHAF,PHAG,PHAH,PHAI,PHBJ,PHBA,PHBB,PHBC,PHBD,PHBE,PHBF,PHBG,PHBH,PHBI,PHCJ,PHCA,PHCB,PHCC,PHCD,PHCE,PHCF,PHCG,PHCH,PHCI,PHDJ,PHDA,PHDB,PHDC,PHDD,PHDE,PHDF,PHDG,PHDH,PHDI,PHEJ,PHEA,PHEB,PHEC,PHED,PHEE,PHEF,PHEG,PHEH,PHEI,PHFJ,PHFA,PHFB,PHFC,PHFD,PHFE,PHFF,PHFG,PHFH,PHFI,PHGJ,PHGA,PHGB,PHGC,PHGD,PHGE,PHGF,PHGG,PHGH,PHGI,PHHJ,PHHA,PHHB,PHHC,PHHD,PHHE,PHHF,PHHG,PHHH,PHHI,PHIJ,PHIA,PHIB,PHIC,PHID,PHIE,PHIF,PHIG,PHIH,PHII,PIJJ,PIJA,PIJB,PIJC,PIJD,PIJE,PIJF,PIJG,PIJH,PIJI,PIAJ,PIAA,PIAB
PHAD,PHAE,PHAF,PHAG,PHAH,PHAI,PHBJ,PHBA,PHBB,PHBC,PHBD,PHBE,PHBF,PHBG,PHBH,PHBI,PHCJ,PHCA,PHCB,PHCC,PHCD,PHCE,PHCF,PHCG,PHCH,PHCI,PHDJ,PHDA,PHDB,PHDC,PHDD,PHDE,PHDF,PHDG,PHDH,PHDI,PHEJ,PHEA,PHEB,PHEC,PHED,PHEE,PHEF,PHEG,PHEH,PHEI,PHFJ,PHFA,PHFB,PHFC,PHFD,PHFE,PHFF,PHFG,PHFH,PHFI,PHGJ,PHGA,PHGB,PHGC,PHGD,PHGE,PHGF,PHGG,PHGH,PHGI,PHHJ,PHHA,PHHB,PHHC,PHHD,PHHE,PHHF,PHHG,PHHH,PHHI,PHIJ,PHIA,PHIB,PHIC,PHID,PHIE,PHIF,PHIG,PHIH,PHII,PIJJ,PIJA,PIJB,PIJC,PIJD,PIJE,PIJF,PIJG,PIJH,PIJI,PIAJ,PIAA,PIAB,PIAC
PHAE,PHAF,PHAG,PHAH,PHAI,PHBJ,PHBA,PHBB,PHBC,PHBD,PHBE,PHBF,PHBG,PHBH,PHBI,PHCJ,PHCA,PHCB,PHCC,PHCD,PHCE,PHCF,PHCG,PHCH,PHCI,PHDJ,PHDA,PHDB,PHDC,PHDD,PHDE,PHDF,PHDG,PHDH,PHDI,PHEJ,PHEA,PHEB,PHEC,PHED,PHEE,PHEF,PHEG,PHEH,PHEI,PHFJ,PHFA,PHFB,PHFC,PHFD,PHFE,PHFF,PHFG,PHFH,PHFI,PHGJ,PHGA,PHGB,PHGC,PHGD,PHGE,PHGF,PHGG,PHGH,PHGI,PHHJ,PHHA,PHHB,PHHC,PHHD,PHHE,PHHF,PHHG,PHHH,PHHI,PHIJ,PHIA,PHIB,PHIC,PHID,PHIE,PHIF,PHIG,PHIH,PHII,PIJJ,PIJA,PIJB,PIJC,PIJD,PIJE,PIJF,PIJG,PIJH,PIJI,PIAJ,PIAA,PIAB,PIAC,PIAD
PHAF,PHAG,PHAH,PHAI,PHBJ,PHBA,PHBB,PHBC,PHBD,PHBE,PHBF,PHBG,PHBH,PHBI,PHCJ,PHCA,PHCB,PHCC,PHCD,PHCE,PHCF,PHCG,PHCH,PHCI,PHDJ,PHDA,PHDB,PHDC,PHDD,PHDE,PHDF,PHDG,PHDH,PHDI,PHEJ,PHEA,PHEB,PHEC,PHED,PHEE,PHEF,PHEG,PHEH,PHEI,PHFJ,PHFA,PHFB,PHFC,PHFD,PHFE,PHFF,PHFG,PHFH,PHFI,PHGJ,PHGA,PHGB,PHGC,PHGD,PHGE,PHGF,PHGG,PHGH,PHGI,PHHJ,PHHA,PHHB,PHHC,PHHD,PHHE,PHHF,PHHG,PHHH,PHHI,PHIJ,PHIA,PHIB,PHIC,PHID,PHIE,PHIF,PHIG,PHIH,PHII,PIJJ,PIJA,PIJB,PIJC,PIJD,PIJE,PIJF,PIJG,PIJH,PIJI,PIAJ,PIAA,PIAB,PIAC,PIAD,PIAE
PHAG,PHAH,PHAI,PHBJ,PHBA,PHBB,PHBC,PHBD,PHBE,PHBF,PHBG,PHBH,PHBI,PHCJ,PHCA,PHCB,PHCC,PHCD,PHCE,PHCF,PHCG,PHCH,PHCI,PHDJ,PHDA,PHDB,PHDC,PHDD,PHDE,PHDF,PHDG,PHDH,PHDI,PHEJ,PHEA,PHEB,PHEC,PHED,PHEE,PHEF,PHEG,PHEH,PHEI,PHFJ,PHFA,PHFB,PHFC,PHFD,PHFE,PHFF,PHFG,PHFH,PHFI,PHGJ,PHGA,PHGB,PHGC,PHGD,PHGE,PHGF,PHGG,PHGH,PHGI,PHHJ,PHHA,PHHB,PHHC,PHHD,PHHE,PHHF,PHHG,PHHH,PHHI,PHIJ,PHIA,PHIB,PHIC,PHID,PHIE,PHIF,PHIG,PHIH,PHII,PIJJ,PIJA,PIJB,PIJC,PIJD,PIJE,PIJF,PIJG,PIJH,PIJI,PIAJ,PIAA,PIAB,PIAC,PIAD,PIAE,PIAF
PHAH,PHAI,PHBJ,PHBA,PHBB,PHBC,PHBD,PHBE,PHBF,PHBG,PHBH,PHBI,PHCJ,PHCA,PHCB,PHCC,PHCD,PHCE,PHCF,PHCG,PHCH,PHCI,PHDJ,PHDA,PHDB,PHDC,PHDD,PHDE,PHDF,PHDG,PHDH,PHDI,PHEJ,PHEA,PHEB,PHEC,PHED,PHEE,PHEF,PHEG,PHEH,PHEI,PHFJ,PHFA,PHFB,PHFC,PHFD,PHFE,PHFF,PHFG,PHFH,PHFI,PHGJ,PHGA,PHGB,PHGC,PHGD,PHGE,PHGF,PHGG,PHGH,PHGI,PHHJ,PHHA,PHHB,PHHC,PHHD,PHHE,PHHF,PHHG,PHHH,PHHI,PHIJ,PHIA,PHIB,PHIC,PHID,PHIE,PHIF,PHIG,PHIH,PHII,PIJJ,PIJA,PIJB,PIJC,PIJD,PIJE,PIJF,PIJG,PIJH,PIJI,PIAJ,PIAA,PIAB,PIAC,PIAD,PIAE,PIAF,PIAG
PHAI,PHBJ,PHBA,PHBB,PHBC,PHBD,PHBE,PHBF,PHBG,PHBH,PHBI,PHCJ,PHCA,PHCB,PHCC,PHCD,PHCE,PHCF,PHCG,PHCH,PHCI,PHDJ,PHDA,PHDB,PHDC,PHDD,PHDE,PHDF,PHDG,PHDH,PHDI,PHEJ,PHEA,PHEB,PHEC,PHED,PHEE,PHEF,PHEG,PHEH,PHEI,PHFJ,PHFA,PHFB,PHFC,PHFD,PHFE,PHFF,PHFG,PHFH,PHFI,PHGJ,PHGA,PHGB,PHGC,PHGD,PHGE,PHGF,PHGG,PHGH,PHGI,PHHJ,PHHA,PHHB,PHHC,PHHD,PHHE,PHHF,PHHG,PHHH,PHHI,PHIJ,PHIA,PHIB,PHIC,PHID,PHIE,PHIF,PHIG,PHIH,PHII,PIJJ,PIJA,PIJB,PIJC,PIJD,PIJE,PIJF,PIJG,PIJH,PIJI,PIAJ,PIAA,PIAB,PIAC,PIAD,PIAE,PIAF,PIAG,PIAH
PHBJ,PHBA,PHBB,PHBC,PHBD,PHBE,PHBF,PHBG,PHBH,PHBI,PHCJ,PHCA,PHCB,PHCC,PHCD,PHCE,PHCF,PHCG,PHCH,PHCI,PHDJ,PHDA,PHDB,PHDC,PHDD,PHDE,PHDF,PHDG,PHDH,PHDI,PHEJ,PHEA,PHEB,PHEC,PHED,PHEE,PHEF,PHEG,PHEH,PHEI,PHFJ,PHFA,PHFB,PHFC,PHFD,PHFE,PHFF,PHFG,PHFH,PHFI,PHGJ,PHGA,PHGB,PHGC,PHGD,PHGE,PHGF,PHGG,PHGH,PHGI,PHHJ,PHHA,PHHB,PHHC,PHHD,PHHE,PHHF,PHHG,PHHH,PHHI,PHIJ,PHIA,PHIB,PHIC,PHID,PHIE,PHIF,PHIG,PHIH,PHII,PIJJ,PIJA,PIJB,PIJC,PIJD,PIJE,PIJF,PIJG,PIJH,PIJI,PIAJ,PIAA,PIAB,PIAC,PIAD,PIAE,PIAF,PIAG,PIAH,PIAI
PHBA,PHBB,PHBC,PHBD,PHBE,PHBF,PHBG,PHBH,PHBI,PHCJ,PHCA,PHCB,PHCC,PHCD,PHCE,PHCF,PHCG,PHCH,PHCI,PHDJ,PHDA,PHDB,PHDC,PHDD,PHDE,PHDF,PHDG,PHDH,PHDI,PHEJ,PHEA,PHEB,PHEC,PHED,PHEE,PHEF,PHEG,PHEH,PHEI,PHFJ,PHFA,PHFB,PHFC,PHFD,PHFE,PHFF,PHFG,PHFH,PHFI,PHGJ,PHGA,PHGB,PHGC,PHGD,PHGE,PHGF,PHGG,PHGH,PHGI,PHHJ,PHHA,PHHB,PHHC,PHHD,PHHE,PHHF,PHHG,PHHH,PHHI,PHIJ,PHIA,PHIB,PHIC,PHID,PHIE,PHIF,PHIG,PHIH,PHII,PIJJ,PIJA,PIJB,PIJC,PIJD,PIJE,PIJF,PIJG,PIJH,PIJI,PIAJ,PIAA,PIAB,PIAC,PIAD,PIAE,PIAF,PIAG,PIAH,PIAI,PIBJ
PHBB,PHBC,PHBD,PHBE,PHBF,PHBG,PHBH,PHBI,PHCJ,PHCA,PHCB,PHCC,PHCD,PHCE,PHCF,PHCG,PHCH,PHCI,PHDJ,PHDA,PHDB,PHDC,PHDD,PHDE,PHDF,PHDG,PHDH,PHDI,PHEJ,PHEA,PHEB,PHEC,PHED,PHEE,PHEF,PHEG,PHEH,PHEI,PHFJ,PHFA,PHFB,PHFC,PHFD,PHFE,PHFF,PHFG,PHFH,PHFI,PHGJ,PHGA,PHGB,PHGC,PHGD,PHGE,PHGF,PHGG,PHGH,PHGI,PHHJ,PHHA,PHHB,PHHC,PHHD,PHHE,PHHF,PHHG,PHHH,PHHI,PHIJ,PHIA,PHIB,PHIC,PHID,PHIE,PHIF,PHIG,PHIH,PHII,PIJJ,PIJA,PIJB,PIJC,PIJD,PIJE,PIJF,PIJG,PIJH,PIJI,PIAJ,PIAA,PIAB,PIAC,PIAD,PIAE,PIAF,PIAG,PIAH,PIAI,PIBJ,PIBA
PHBC,PHBD,PHBE,PHBF,PHBG,PHBH,PHBI,PHCJ,PHCA,PHCB,PHCC,PHCD,PHCE,PHCF,PHCG,PHCH,PHCI,PHDJ,PHDA,PHDB,PHDC,PHDD,PHDE,PHDF,PHDG,PHDH,PHDI,PHEJ,PHEA,PHEB,PHEC,PHED,PHEE,PHEF,PHEG,PHEH,PHEI,PHFJ,PHFA,PHFB,PHFC,PHFD,PHFE,PHFF,PHFG,PHFH,PHFI,PHGJ,PHGA,PHGB,PHGC,PHGD,PHGE,PHGF,PHGG,PHGH,PHGI,PHHJ,PHHA,PHHB,PHHC,PHHD,PHHE,PHHF,PHHG,PHHH,PHHI,PHIJ,PHIA,PHIB,PHIC,PHID,PHIE,PHIF,PHIG,PHIH,PHII,PIJJ,PIJA,PIJB,PIJC,PIJD,PIJE,PIJF,PIJG,PIJH,PIJI,PIAJ,PIAA,PIAB,PIAC,PIAD,PIAE,PIAF,PIAG,PIAH,PIAI,PIBJ,PIBA,PIBB
PHBD,PHBE,PHBF,PHBG,PHBH,PHBI,PHCJ,PHCA,PHCB,PHCC,PHCD,PHCE,PHCF,PHCG,PHCH,PHCI,PHDJ,PHDA,PHDB,PHDC,PHDD,PHDE,PHDF,PHDG,PHDH,PHDI,PHEJ,PHEA,PHEB,PHEC,PHED,PHEE,PHEF,PHEG,PHEH,PHEI,PHFJ,PHFA,PHFB,PHFC,PHFD,PHFE,PHFF,PHFG,PHFH,PHFI,PHGJ,PHGA,PHGB,PHGC,PHGD,PHGE,PHGF,PHGG,PHGH,PHGI,PHHJ,PHHA,PHHB,PHHC,PHHD,PHHE,PHHF,PHHG,PHHH,PHHI,PHIJ,PHIA,PHIB,PHIC,PHID,PHIE,PHIF,PHIG,PHIH,PHII,PIJJ,PIJA,PIJB,PIJC,PIJD,PIJE,PIJF,PIJG,PIJH,PIJI,PIAJ,PIAA,PIAB,PIAC,PIAD,PIAE,PIAF,PIAG,PIAH,PIAI,PIBJ,PIBA,PIBB,PIBC
PHBE,PHBF,PHBG,PHBH,PHBI,PHCJ,PHCA,PHCB,PHCC,PHCD,PHCE,PHCF,PHCG,PHCH,PHCI,PHDJ,PHDA,PHDB,PHDC,PHDD,PHDE,PHDF,PHDG,PHDH,PHDI,PHEJ,PHEA,PHEB,PHEC,PHED,PHEE,PHEF,PHEG,PHEH,PHEI,PHFJ,PHFA,PHFB,PHFC,PHFD,PHFE,PHFF,PHFG,PHFH,PHFI,PHGJ,PHGA,PHGB,PHGC,PHGD,PHGE,PHGF,PHGG,PHGH,PHGI,PHHJ,PHHA,PHHB,PHHC,PHHD,PHHE,PHHF,PHHG,PHHH,PHHI,PHIJ,PHIA,PHIB,PHIC,PHID,PHIE,PHIF,PHIG,PHIH,PHII,PIJJ,PIJA,PIJB,PIJC,PIJD,PIJE,PIJF,PIJG,PIJH,PIJI,PIAJ,PIAA,PIAB,PIAC,PIAD,PIAE,PIAF,PIAG,PIAH,PIAI,PIBJ,PIBA,PIBB,PIBC,PIBD
PHBF,PHBG,PHBH,PHBI,PHCJ,PHCA,PHCB,PHCC,PHCD,PHCE,PHCF,PHCG,PHCH,PHCI,PHDJ,PHDA,PHDB,PHDC,PHDD,PHDE,PHDF,PHDG,PHDH,PHDI,PHEJ,PHEA,PHEB,PHEC,PHED,PHEE,PHEF,PHEG,PHEH,PHEI,PHFJ,PHFA,PHFB,PHFC,PHFD,PHFE,PHFF,PHFG,PHFH,PHFI,PHGJ,PHGA,PHGB,PHGC,PHGD,PHGE,PHGF,PHGG,PHGH,PHGI,PHHJ,PHHA,PHHB,PHHC,PHHD,PHHE,PHHF,PHHG,PHHH,PHHI,PHIJ,PHIA,PHIB,PHIC,PHID,PHIE,PHIF,PHIG,PHIH,PHII,PIJJ,PIJA,PIJB,PIJC,PIJD,PIJE,PIJF,PIJG,PIJH,PIJI,PIAJ,PIAA,PIAB,PIAC,PIAD,PIAE,PIAF,PIAG,PIAH,PIAI,PIBJ,PIBA,PIBB,PIBC,PIBD,PIBE
PHBG,PHBH,PHBI,PHCJ,PHCA,PHCB,PHCC,PHCD,PHCE,PHCF,PHCG,PHCH,PHCI,PHDJ,PHDA,PHDB,PHDC,PHDD,PHDE,PHDF,PHDG,PHDH,PHDI,PHEJ,PHEA,PHEB,PHEC,PHED,PHEE,PHEF,PHEG,PHEH,PHEI,PHFJ,PHFA,PHFB,PHFC,PHFD,PHFE,PHFF,PHFG,PHFH,PHFI,PHGJ,PHGA,PHGB,PHGC,PHGD,PHGE,PHGF,PHGG,PHGH,PHGI,PHHJ,PHHA,PHHB,PHHC,PHHD,PHHE,PHHF,PHHG,PHHH,PHHI,PHIJ,PHIA,PHIB,PHIC,PHID,PHIE,PHIF,PHIG,PHIH,PHII,PIJJ,PIJA,PIJB,PIJC,PIJD,PIJE,PIJF,PIJG,PIJH,PIJI,PIAJ,PIAA,PIAB,PIAC,PIAD,PIAE,PIAF,PIAG,PIAH,PIAI,PIBJ,PIBA,PIBB,PIBC,PIBD,PIBE,PIBF
PHBH,PHBI,PHCJ,PHCA,PHCB,PHCC,PHCD,PHCE,PHCF,PHCG,PHCH,PHCI,PHDJ,PHDA,PHDB,PHDC,PHDD,PHDE,PHDF,PHDG,PHDH,PHDI,PHEJ,PHEA,PHEB,PHEC,PHED,PHEE,PHEF,PHEG,PHEH,PHEI,PHFJ,PHFA,PHFB,PHFC,PHFD,PHFE,PHFF,PHFG,PHFH,PHFI,PHGJ,PHGA,PHGB,PHGC,PHGD,PHGE,PHGF,PHGG,PHGH,PHGI,PHHJ,PHHA,PHHB,PHHC,PHHD,PHHE,PHHF,PHHG,PHHH,PHHI,PHIJ,PHIA,PHIB,PHIC,PHID,PHIE,PHIF,PHIG,PHIH,PHII,PIJJ,PIJA,PIJB,PIJC,PIJD,PIJE,PIJF,PIJG,PIJH,PIJI,PIAJ,PIAA,PIAB,PIAC,PIAD,PIAE,PIAF,PIAG,PIAH,PIAI,PIBJ,PIBA,PIBB,PIBC,PIBD,PIBE,PIBF,PIBG
PHBI,PHCJ,PHCA,PHCB,PHCC,PHCD,PHCE,PHCF,PHCG,PHCH,PHCI,PHDJ,PHDA,PHDB,PHDC,PHDD,PHDE,PHDF,PHDG,PHDH,PHDI,PHEJ,PHEA,PHEB,PHEC,PHED,PHEE,PHEF,PHEG,PHEH,PHEI,PHFJ,PHFA,PHFB,PHFC,PHFD,PHFE,PHFF,PHFG,PHFH,PHFI,PHGJ,PHGA,PHGB,PHGC,PHGD,PHGE,PHGF,PHGG,PHGH,PHGI,PHHJ,PHHA,PHHB,PHHC,PHHD,PHHE,PHHF,PHHG,PHHH,PHHI,PHIJ,PHIA,PHIB,PHIC,PHID,PHIE,PHIF,PHIG,PHIH,PHII,PIJJ,PIJA,PIJB,PIJC,PIJD,PIJE,PIJF,PIJG,PIJH,PIJI,PIAJ,PIAA,PIAB,PIAC,PIAD,PIAE,PIAF,PIAG,PIAH,PIAI,PIBJ,PIBA,PIBB,PIBC,PIBD,PIBE,PIBF,PIBG,PIBH
PHCJ,PHCA,PHCB,PHCC,PHCD,PHCE,PHCF,PHCG,PHCH,PHCI,PHDJ,PHDA,PHDB,PHDC,PHDD,PHDE,PHDF,PHDG,PHDH,PHDI,PHEJ,PHEA,PHEB,PHEC,PHED,PHEE,PHEF,PHEG,PHEH,PHEI,PHFJ,PHFA,PHFB,PHFC,PHFD,PHFE,PHFF,PHFG,PHFH,PHFI,PHGJ,PHGA,PHGB,PHGC,PHGD,PHGE,PHGF,PHGG,PHGH,PHGI,PHHJ,PHHA,PHHB,PHHC,PHHD,PHHE,PHHF,PHHG,PHHH,PHHI,PHIJ,PHIA,PHIB,PHIC,PHID,PHIE,PHIF,PHIG,PHIH,PHII,PIJJ,PIJA,PIJB,PIJC,PIJD,PIJE,PIJF,PIJG,PIJH,PIJI,PIAJ,PIAA,PIAB,PIAC,PIAD,PIAE,PIAF,PIAG,PIAH,PIAI,PIBJ,PIBA,PIBB,PIBC,PIBD,PIBE,PIBF,PIBG,PIBH,PIBI
PHCA,PHCB,PHCC,PHCD,PHCE,PHCF,PHCG,PHCH,PHCI,PHDJ,PHDA,PHDB,PHDC,PHDD,PHDE,PHDF,PHDG,PHDH,PHDI,PHEJ,PHEA,PHEB,PHEC,PHED,PHEE,PHEF,PHEG,PHEH,PHEI,PHFJ,PHFA,PHFB,PHFC,PHFD,PHFE,PHFF,PHFG,PHFH,PHFI,PHGJ,PHGA,PHGB,PHGC,PHGD,PHGE,PHGF,PHGG,PHGH,PHGI,PHHJ,PHHA,PHHB,PHHC,PHHD,PHHE,PHHF,PHHG,PHHH,PHHI,PHIJ,PHIA,PHIB,PHIC,PHID,PHIE,PHIF,PHIG,PHIH,PHII,PIJJ,PIJA,PIJB,PIJC,PIJD,PIJE,PIJF,PIJG,PIJH,PIJI,PIAJ,PIAA,PIAB,PIAC,PIAD,PIAE,PIAF,PIAG,PIAH,PIAI,PIBJ,PIBA,PIBB,PIBC,PIBD,PIBE,PIBF,PIBG,PIBH,PIBI,PICJ
PHCB,PHCC,PHCD,PHCE,PHCF,PHCG,PHCH,PHCI,PHDJ,PHDA,PHDB,PHDC,PHDD,PHDE,PHDF,PHDG,PHDH,PHDI,PHEJ,PHEA,PHEB,PHEC,PHED,PHEE,PHEF,PHEG,PHEH,PHEI,PHFJ,PHFA,PHFB,PHFC,PHFD,PHFE,PHFF,PHFG,PHFH,PHFI,PHGJ,PHGA,PHGB,PHGC,PHGD,PHGE,PHGF,PHGG,PHGH,PHGI,PHHJ,PHHA,PHHB,PHHC,PHHD,PHHE,PHHF,PHHG,PHHH,PHHI,PHIJ,PHIA,PHIB,PHIC,PHID,PHIE,PHIF,PHIG,PHIH,PHII,PIJJ,PIJA,PIJB,PIJC,PIJD,PIJE,PIJF,PIJG,PIJH,PIJI,PIAJ,PIAA,PIAB,PIAC,PIAD,PIAE,PIAF,PIAG,PIAH,PIAI,PIBJ,PIBA,PIBB,PIBC,PIBD,PIBE,PIBF,PIBG,PIBH,PIBI,PICJ,PICA
PHCC,PHCD,PHCE,PHCF,PHCG,PHCH,PHCI,PHDJ,PHDA,PHDB,PHDC,PHDD,PHDE,PHDF,PHDG,PHDH,PHDI,PHEJ,PHEA,PHEB,PHEC,PHED,PHEE,PHEF,PHEG,PHEH,PHEI,PHFJ,PHFA,PHFB,PHFC,PHFD,PHFE,PHFF,PHFG,PHFH,PHFI,PHGJ,PHGA,PHGB,PHGC,PHGD,PHGE,PHGF,PHGG,PHGH,PHGI,PHHJ,PHHA,PHHB,PHHC,PHHD,PHHE,PHHF,PHHG,PHHH,PHHI,PHIJ,PHIA,PHIB,PHIC,PHID,PHIE,PHIF,PHIG,PHIH,PHII,PIJJ,PIJA,PIJB,PIJC,PIJD,PIJE,PIJF,PIJG,PIJH,PIJI,PIAJ,PIAA,PIAB,PIAC,PIAD,PIAE,PIAF,PIAG,PIAH,PIAI,PIBJ,PIBA,PIBB,PIBC,PIBD,PIBE,PIBF,PIBG,PIBH,PIBI,PICJ,PICA,PICB
PHCD,PHCE,PHCF,PHCG,PHCH,PHCI,PHDJ,PHDA,PHDB,PHDC,PHDD,PHDE,PHDF,PHDG,PHDH,PHDI,PHEJ,PHEA,PHEB,PHEC,PHED,PHEE,PHEF,PHEG,PHEH,PHEI,PHFJ,PHFA,PHFB,PHFC,PHFD,PHFE,PHFF,PHFG,PHFH,PHFI,PHGJ,PHGA,PHGB,PHGC,PHGD,PHGE,PHGF,PHGG,PHGH,PHGI,PHHJ,PHHA,PHHB,PHHC,PHHD,PHHE,PHHF,PHHG,PHHH,PHHI,PHIJ,PHIA,PHIB,PHIC,PHID,PHIE,PHIF,PHIG,PHIH,PHII,PIJJ,PIJA,PIJB,PIJC,PIJD,PIJE,PIJF,PIJG,PIJH,PIJI,PIAJ,PIAA,PIAB,PIAC,PIAD,PIAE,PIAF,PIAG,PIAH,PIAI,PIBJ,PIBA,PIBB,PIBC,PIBD,PIBE,PIBF,PIBG,PIBH,PIBI,PICJ,PICA,PICB,PICC
PHCE,PHCF,PHCG,PHCH,PHCI,PHDJ,PHDA,PHDB,PHDC,PHDD,PHDE,PHDF,PHDG,PHDH,PHDI,PHEJ,PHEA,PHEB,PHEC,PHED,PHEE,PHEF,PHEG,PHEH,PHEI,PHFJ,PHFA,PHFB,PHFC,PHFD,PHFE,PHFF,PHFG,PHFH,PHFI,PHGJ,PHGA,PHGB,PHGC,PHGD,PHGE,PHGF,PHGG,PHGH,PHGI,PHHJ,PHHA,PHHB,PHHC,PHHD,PHHE,PHHF,PHHG,PHHH,PHHI,PHIJ,PHIA,PHIB,PHIC,PHID,PHIE,PHIF,PHIG,PHIH,PHII,PIJJ,PIJA,PIJB,PIJC,PIJD,PIJE,PIJF,PIJG,PIJH,PIJI,PIAJ,PIAA,PIAB,PIAC,PIAD,PIAE,PIAF,PIAG,PIAH,PIAI,PIBJ,PIBA,PIBB,PIBC,PIBD,PIBE,PIBF,PIBG,PIBH,PIBI,PICJ,PICA,PICB,PICC,PICD
PHCF,PHCG,PHCH,PHCI,PHDJ,PHDA,PHDB,PHDC,PHDD,PHDE,PHDF,PHDG,PHDH,PHDI,PHEJ,PHEA,PHEB,PHEC,PHED,PHEE,PHEF,PHEG,PHEH,PHEI,PHFJ,PHFA,PHFB,PHFC,PHFD,PHFE,PHFF,PHFG,PHFH,PHFI,PHGJ,PHGA,PHGB,PHGC,PHGD,PHGE,PHGF,PHGG,PHGH,PHGI,PHHJ,PHHA,PHHB,PHHC,PHHD,PHHE,PHHF,PHHG,PHHH,PHHI,PHIJ,PHIA,PHIB,PHIC,PHID,PHIE,PHIF,PHIG,PHIH,PHII,PIJJ,PIJA,PIJB,PIJC,PIJD,PIJE,PIJF,PIJG,PIJH,PIJI,PIAJ,PIAA,PIAB,PIAC,PIAD,PIAE,PIAF,PIAG,PIAH,PIAI,PIBJ,PIBA,PIBB,PIBC,PIBD,PIBE,PIBF,PIBG,PIBH,PIBI,PICJ,PICA,PICB,PICC,PICD,PICE
PHCG,PHCH,PHCI,PHDJ,PHDA,PHDB,PHDC,PHDD,PHDE,PHDF,PHDG,PHDH,PHDI,PHEJ,PHEA,PHEB,PHEC,PHED,PHEE,PHEF,PHEG,PHEH,PHEI,PHFJ,PHFA,PHFB,PHFC,PHFD,PHFE,PHFF,PHFG,PHFH,PHFI,PHGJ,PHGA,PHGB,PHGC,PHGD,PHGE,PHGF,PHGG,PHGH,PHGI,PHHJ,PHHA,PHHB,PHHC,PHHD,PHHE,PHHF,PHHG,PHHH,PHHI,PHIJ,PHIA,PHIB,PHIC,PHID,PHIE,PHIF,PHIG,PHIH,PHII,PIJJ,PIJA,PIJB,PIJC,PIJD,PIJE,PIJF,PIJG,PIJH,PIJI,PIAJ,PIAA,PIAB,PIAC,PIAD,PIAE,PIAF,PIAG,PIAH,PIAI,PIBJ,PIBA,PIBB,PIBC,PIBD,PIBE,PIBF,PIBG,PIBH,PIBI,PICJ,PICA,PICB,PICC,PICD,PICE,PICF
PHCH,PHCI,PHDJ,PHDA,PHDB,PHDC,PHDD,PHDE,PHDF,PHDG,PHDH,PHDI,PHEJ,PHEA,PHEB,PHEC,PHED,PHEE,PHEF,PHEG,PHEH,PHEI,PHFJ,PHFA,PHFB,PHFC,PHFD,PHFE,PHFF,PHFG,PHFH,PHFI,PHGJ,PHGA,PHGB,PHGC,PHGD,PHGE,PHGF,PHGG,PHGH,PHGI,PHHJ,PHHA,PHHB,PHHC,PHHD,PHHE,PHHF,PHHG,PHHH,PHHI,PHIJ,PHIA,PHIB,PHIC,PHID,PHIE,PHIF,PHIG,PHIH,PHII,PIJJ,PIJA,PIJB,PIJC,PIJD,PIJE,PIJF,PIJG,PIJH,PIJI,PIAJ,PIAA,PIAB,PIAC,PIAD,PIAE,PIAF,PIAG,PIAH,PIAI,PIBJ,PIBA,PIBB,PIBC,PIBD,PIBE,PIBF,PIBG,PIBH,PIBI,PICJ,PICA,PICB,PICC,PICD,PICE,PICF,PICG
